,tejaas_rr,tejaas_jpa,matrixeqtl,tejaas_rr_errup,tejaas_jpa_errup,matrixeqtl_errup,tejaas_rr_errdn,tejaas_jpa_errdn,matrixeqtl_errdn
10;0.4,0.09702195253183127,0.04962223424948699,0.06141561214736202,0.09973432507333384,0.05793312431853186,0.06997345563573529,0.09430957999032868,0.041311344180442106,0.05285776865898875
10;0.6,0.09610197913384401,0.03211587095933376,0.05349170933837387,0.09979822805763854,0.0398896558834172,0.0632698269285125,0.09240573021004948,0.024342086035250333,0.043713591748235255
10;0.8,0.0963416951400203,0.021514298601275145,0.048478560297747476,0.09927044101699206,0.028960850459311356,0.05911295428828202,0.09341294926304854,0.014067746743238931,0.03784416630721293
10;1.0,0.09493592039016308,0.01660130425811181,0.047034768439780196,0.09807485915741342,0.02261958650009823,0.054748227913671836,0.09179698162291272,0.01058302201612539,0.039321308965888584
20;0.4,0.09596298226823746,0.051250471302807105,0.06191989598892904,0.09896560697403727,0.05950815836003917,0.06848976636441216,0.09296035756243766,0.042992784245575046,0.055350025613445916
20;0.6,0.09279031582197533,0.03226355251756346,0.05320262143605939,0.09678111792634686,0.040783120636421574,0.06171353991665901,0.08879951371760382,0.023743984398705342,0.04469170295545978
20;0.8,0.09148770322334959,0.024352637206577595,0.0490137000925257,0.09544325434000211,0.032441541788389656,0.058465564805712314,0.08753215210669708,0.016263732624765534,0.03956183537933909
20;1.0,0.08707895992192502,0.01840727912682736,0.043850818402113405,0.09432914959564548,0.02334336231811561,0.05020613541669907,0.07982877024820456,0.013471195935539108,0.037495501387527726
30;0.4,0.09091683779074837,0.049341394601856034,0.05947511816381837,0.0964577480924776,0.05806699957478221,0.06919746308080302,0.08537592748901916,0.040615789628929866,0.049752773246833734
30;0.6,0.08881071243749745,0.03607325661425932,0.053251682473753344,0.095452994255221,0.04443737154134085,0.06268211133235946,0.08216843061977393,0.0277091416871778,0.04382125361514723
30;0.8,0.08364150565559444,0.02384568336362916,0.04721173761742208,0.09080174169495187,0.03119333241073283,0.053645482607529424,0.07648126961623702,0.016498034316525495,0.04077799262731475
30;1.0,0.0783607552785933,0.01828168993777784,0.04152588975254335,0.08520438852243162,0.024796040118088163,0.04963913228464072,0.07151712203475499,0.011767339757467521,0.03341264722044598
