,tejaas_rr,tejaas_jpa,matrixeqtl,tejaas_rr_errup,tejaas_jpa_errup,matrixeqtl_errup,tejaas_rr_errdn,tejaas_jpa_errdn,matrixeqtl_errdn
10;0.4,0.996641941483963,0.8816826181226562,0.8899388602127123,1.0005631996007087,0.9292491306654951,0.9419228111775744,0.9927206833672173,0.8341161055798176,0.8379549092478504
10;0.6,0.9949921267122539,0.8445954167054727,0.8645839171933933,1.0023881232087075,0.8952079046535303,0.9250156879396843,0.9875961302158002,0.7939829287574149,0.8041521464471024
10;0.8,0.9953516345400766,0.8268957257526937,0.8536681544169065,1.0009101582769604,0.878906985761682,0.907085822109146,0.9897931108031929,0.7748844657437055,0.8002504867246671
10;1.0,0.9936402589241837,0.7973334196224481,0.8337302693294941,0.9999426660013283,0.8471784529158715,0.8899326866896102,0.9873378518470393,0.7474883863290248,0.777527851969378
20;0.4,0.9954808774482108,0.8995203679308813,0.9018769980894832,0.9996877033151965,0.9356084612434988,0.938472844164415,0.9912740515812251,0.8634322746182633,0.8652811520145515
20;0.6,0.9922836099995732,0.8463153305868718,0.8710617151063733,0.9976868847385674,0.8934123316719477,0.9140401419700406,0.9868803352605791,0.7992183295017957,0.8280832882427062
20;0.8,0.9895039292863638,0.8253146969188897,0.8370180133392481,0.9970707585148587,0.8690747679727008,0.8942448636663479,0.9819371000578688,0.7815546258650787,0.7797911630121483
20;1.0,0.9826850765852967,0.8009659216102829,0.8200660571537288,0.9970897959023356,0.8448994303659378,0.8734328334758081,0.9682803572682577,0.757032412854628,0.7666992808316495
30;0.4,0.9898177111093859,0.8879439572572745,0.8915983883474559,0.9975750893014226,0.9342250656805754,0.9383357554881322,0.9820603329173492,0.8416628488339737,0.8448610212067794
30;0.6,0.9851345588384411,0.8534114759624101,0.8580965591894728,0.9973508965370178,0.9063232772937567,0.9193436688251042,0.9729182211398645,0.8004996746310638,0.7968494495538414
30;0.8,0.978224145782314,0.8137115344454624,0.8327975267983612,0.9936572499129992,0.8596760827118055,0.8793768359531793,0.9627910416516287,0.7677469861791194,0.7862182176435429
30;1.0,0.9696751699450871,0.7918882571857457,0.7972548560726619,0.9857512040887209,0.8415952168796741,0.8526028731163382,0.9535991358014533,0.7421812974918174,0.7419068390289857
