,10,20,30,10_errup,20_errup,30_errup,10_errdn,20_errdn,30_errdn
0,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001
5,0.07234047754703633,0.058366591446458775,0.048532485144103944,0.07991902543870932,0.06607880907464783,0.0558910103554916,0.06476192965536334,0.050654373818269705,0.04117395993271629
10,0.08200868264265358,0.06759279948091342,0.05628082990281969,0.08830034095236446,0.0751988958639393,0.06419265109068219,0.07571702433294271,0.05998670309788753,0.0483690087149572
15,0.08359729181327533,0.06982928164431111,0.05832924149384121,0.08983455612501111,0.07770122952905757,0.06641773538741953,0.07736002750153953,0.06195733375956469,0.0502407476002629
20,0.08395393855021034,0.07053026330513766,0.05915508442243154,0.09006332793040325,0.07845946452706432,0.06680153413901502,0.07784454917001742,0.062601062083211,0.05150863470584806
30,0.08323842001397037,0.07045493136119382,0.059202790430106095,0.08961566206622085,0.07784072619496593,0.06656288914754882,0.07686117796171987,0.06306913652742172,0.05184269171266338
40,0.08265228298382991,0.06962146182056506,0.058832856033756833,0.08913133577903268,0.0771502634712704,0.06634452699383082,0.07617323018862714,0.06209266016985973,0.05132118507368284
50,0.08193486649357618,0.06886602124041111,0.0580699476404507,0.08851807491399649,0.07637324638494858,0.06546060414364062,0.07535165807315586,0.06135879609587365,0.05067929113726079
60,0.0809730137369394,0.06828139115833992,0.05724838359297913,0.08767731114133522,0.07578662005321797,0.06462315359518311,0.07426871633254359,0.060776162263461844,0.049873613590775155
80,0.07783865873320528,0.06584848472272778,0.05574421237934751,0.08483134305264221,0.07304100868416419,0.0628218061636684,0.07084597441376836,0.058655960761291384,0.04866661859502662
100,0.07215841464611739,0.060076488124660446,0.05138658620780607,0.07982599397486452,0.06766656869579823,0.05883296650275804,0.06449083531737024,0.05248640755352264,0.04394020591285411
