,tejaas_rr,tejaas_jpa,matrixeqtl,tejaas_rr_errup,tejaas_jpa_errup,matrixeqtl_errup,tejaas_rr_errdn,tejaas_jpa_errdn,matrixeqtl_errdn
50;5,0.008811915804196642,0.005873352832487712,0.0041225227819652885,0.013567600025684313,0.009636885344037054,0.008063858047317294,0.004056231582708972,0.0021098203209383697,0.00018118751661328318
50;10,0.0230369279377319,0.006835605090530047,0.008982391621673457,0.029596907205409223,0.01160024817576232,0.013715631955211152,0.016476948670054583,0.0020709620052977726,0.004249151288135763
50;15,0.052933200361274614,0.006104169276099173,0.019228294929743536,0.06056962593760938,0.009712501402875145,0.027926125925387586,0.04529677478493985,0.0024958371493232,0.010530463934099484
50;20,0.07474770641160923,0.010038411775841902,0.03486573560258444,0.08145400284350496,0.01394993256049745,0.04295948903445758,0.0680414099797135,0.006126890991186355,0.026771982170711296
100;5,0.012404908374886094,0.006347478219951062,0.004578006763925566,0.018695872704100974,0.010373454137634928,0.00867343555471153,0.006113944045671214,0.0023215023022671952,0.0004825779731396015
100;10,0.051182128527650264,0.006331309503063057,0.010001178199113251,0.05941855027900766,0.00976184389659164,0.015461067890094876,0.04294570677629288,0.002900775109534475,0.004541288508131624
100;15,0.08279307023503503,0.010450901286225665,0.028768109628457047,0.08907650938603685,0.014780010458106016,0.03576550621950605,0.07650963108403322,0.0061217921143453145,0.021770713037408053
100;20,0.09339208043590173,0.015391598326118095,0.04307274198738094,0.0974407485173824,0.020975613855143654,0.050389439204211905,0.0893434123544211,0.009807582797092542,0.03575604477054996
150;5,0.020203058060026306,0.006444919900363593,0.006122355491637246,0.028297678124151862,0.010993376362088752,0.009887075318516111,0.012108437995900747,0.0018964634386384352,0.0023576356647583823
150;10,0.07163381182020845,0.007022893723188095,0.011657532897689643,0.07805872934017101,0.010988502188150225,0.016951168614354,0.0652088943002459,0.0030572852582259643,0.006363897181025287
150;15,0.09285988824536533,0.01340427112846772,0.03297283179336823,0.09695355472031478,0.017561832598839557,0.039586562806445104,0.08876622177041588,0.009246709658095882,0.026359100780291366
150;20,0.09776792976653027,0.02613129366620285,0.053201864962231324,0.10035925779316186,0.03560910343470262,0.061490241098064766,0.09517660173989868,0.016653483897703086,0.044913488826397896
