,tejaas_rr,tejaas_jpa,matrixeqtl,tejaas_rr_errup,tejaas_jpa_errup,matrixeqtl_errup,tejaas_rr_errdn,tejaas_jpa_errdn,matrixeqtl_errdn
50;5,0.6093842382343154,0.7168129744929688,0.506698864058486,0.6782501308393575,0.7773386213123252,0.582201553124996,0.5405183456292733,0.6562873276736123,0.4311961749919762
50;10,0.7821007451433757,0.7320932575060822,0.5670161331474377,0.8330202498192786,0.7878469818468189,0.6426285945943255,0.7311812404674726,0.6763395331653456,0.49140367170054977
50;15,0.9131849546286201,0.7306408150923833,0.6892675640201319,0.9429878736173832,0.786913557799946,0.7725386856026114,0.8833820356398568,0.6743680723848207,0.605996442437652
50;20,0.9621953124975574,0.7522515591899355,0.7675159639849909,0.9828416118821275,0.8035181772002968,0.8277799616358683,0.9415490131129873,0.7009849411795741,0.7072519663341132
100;5,0.6806474603046386,0.7216119495880046,0.5245027233547237,0.7510739569876373,0.7833234816377247,0.5956585998878521,0.6102209636216399,0.6599004175382842,0.45334684682159526
100;10,0.9064452922218378,0.7313782917516964,0.6045600549910592,0.9374444442023058,0.7822698612005619,0.6774390561806314,0.8754461402413698,0.6804867223028308,0.5316810538014873
100;15,0.97725003280956,0.7511774691582358,0.7523681149424282,0.9922720919496149,0.8077910817032283,0.814244443263554,0.9622279736695051,0.6945638566132433,0.6904917866213021
100;20,0.9922749721613477,0.7954629067442348,0.8204973864632517,0.9984239357882717,0.8412153139831514,0.8720059055235403,0.9861260085344238,0.7497104995053181,0.768988867402963
150;5,0.7576515718936186,0.7256389617819746,0.5389300944097215,0.8244862789003276,0.7805309839622335,0.6101073111083166,0.6908168648869099,0.6707469396017157,0.46775287771112617
150;10,0.9566033980667021,0.7332924544510653,0.6216107302889105,0.9767026664990097,0.785857627001344,0.6939091838474241,0.9365041296343947,0.6807272819007866,0.5493122767303968
150;15,0.9906187431662227,0.7784843779782342,0.7710379366282658,0.9988067610784268,0.8222098482863873,0.8244704123030155,0.9824307252540183,0.7347589076700809,0.7176054609535163
150;20,0.997183364404274,0.8350179166668678,0.8674668624707227,1.002358542162198,0.8820639349172842,0.9154013434856456,0.9920081866463499,0.7879718984164512,0.8195323814557998
